history_id,employee_id,change_date,new_salary
1,1,2009-05-17,71333
2,1,2023-12-11,76421
3,2,2023-09-04,34948
4,2,2025-02-26,52156
5,3,2015-01-31,74671
6,4,2025-03-05,33961
7,4,2025-07-09,54458
8,4,2026-01-11,89615
9,5,2019-05-05,93334
10,5,2020-07-03,110808
11,5,2022-02-26,115674
12,6,2004-09-11,30866
13,6,2019-04-06,32061
14,6,2023-08-30,141327
15,7,2016-06-20,30776
16,7,2017-06-17,56957
17,7,2023-07-19,89823
18,8,2022-02-26,88520
19,9,1986-02-08,67576
20,9,2008-03-08,100220
21,9,2025-10-25,119840
22,10,2024-04-08,100589
23,11,2024-04-20,53496
24,11,2025-03-08,86436
25,11,2025-05-18,118346
26,11,2025-12-26,129733
27,12,2020-10-19,147715
28,13,2013-07-03,48675
29,14,2000-04-19,67869
30,15,2019-01-24,74718
31,16,2012-10-13,47519
32,16,2020-06-07,53228
33,16,2025-08-12,74438
34,17,2018-10-05,35178
35,17,2022-07-09,54448
36,17,2023-05-06,68746
37,18,2019-11-19,37969
38,18,2021-01-21,45040
39,18,2021-04-22,48513
40,18,2022-04-05,52847
41,18,2022-06-03,54371
42,19,2013-09-23,32641
43,19,2022-02-09,48326
44,20,2010-05-16,32076
45,20,2016-02-13,72591
46,20,2022-05-20,72953
47,21,2018-11-17,138419
48,22,2009-02-02,66221
49,22,2020-07-25,78469
50,23,1993-05-22,31238
51,23,2018-08-05,105612
52,24,2018-04-28,40837
53,24,2024-01-06,95517
54,24,2025-12-01,123748
55,25,1994-08-25,73420
56,25,2004-02-28,114529
57,25,2013-01-24,132809
58,25,2016-02-27,142056
59,26,1996-11-26,33124
60,26,2008-06-15,47306
61,26,2021-11-03,54662
62,27,2017-02-17,36927
63,27,2022-01-11,37528
64,27,2022-07-12,38883
65,27,2023-04-27,45581
66,27,2024-04-22,47592
67,28,2024-01-20,135932
68,29,2025-02-05,56828
69,30,2022-08-25,34312
70,30,2023-03-13,53508
71,30,2023-05-28,101176
72,30,2023-12-11,103860
73,30,2024-10-12,109163
74,31,1998-07-16,32052
75,31,2001-05-12,57152
76,31,2002-07-29,71220
77,31,2019-06-11,106943
78,31,2026-03-07,133447
79,32,2025-03-24,107839
80,33,2021-09-08,35042
81,33,2021-11-25,56102
82,33,2024-07-06,83798
83,33,2025-04-30,84313
84,34,2008-02-03,66959
85,34,2012-09-20,68864
86,35,2009-12-09,42751
87,35,2025-10-20,48834
88,36,2023-09-19,51740
89,36,2023-09-28,65426
90,36,2023-11-19,71195
91,37,2026-03-20,54239
92,37,2026-03-22,57342
93,38,1989-09-23,64957
94,39,2004-08-14,35139
95,39,2009-12-03,62819
96,39,2012-06-06,77458
97,39,2015-01-22,78854
98,39,2017-04-17,95519
99,40,2024-01-05,31759
100,40,2024-04-27,33200
101,40,2024-07-26,37606
102,40,2024-12-30,44322
103,40,2025-01-06,47944
104,41,2000-05-16,51389
105,41,2004-04-23,52321
106,41,2011-06-19,55998
107,41,2022-03-28,65112
108,42,2019-08-21,64050
109,43,2010-04-30,89054
110,43,2025-02-06,145909
111,44,2016-07-07,41659
112,44,2021-11-30,52224
113,45,2025-05-09,54603
114,45,2025-06-04,58301
115,45,2025-07-28,68016
116,46,2010-02-10,40282
117,47,2023-07-29,35616
118,47,2023-08-06,54908
119,47,2024-12-13,95444
120,48,2008-10-27,38075
121,48,2020-05-21,39678
122,48,2025-03-03,47665
123,49,1992-10-25,40752
124,49,1993-12-18,65123
125,49,2010-07-27,116569
126,50,2023-03-08,47455
127,51,2021-12-02,35055
128,51,2023-08-28,42767
129,51,2025-07-16,48907
130,52,1998-01-21,43965
131,52,2016-12-16,115880
132,53,2013-11-22,114085
133,54,2000-01-04,36699
134,54,2003-06-04,47679
135,54,2006-03-16,53587
136,54,2023-03-19,59146
137,54,2025-02-14,71285
138,55,2025-06-02,81441
139,56,2019-11-08,53104
140,57,2022-11-13,48177
141,57,2024-01-28,57361
142,58,1993-01-16,31721
143,58,2002-09-19,36769
144,58,2003-05-12,77353
145,59,2017-01-08,120173
146,60,2025-06-19,108240
147,60,2026-01-06,108386
148,60,2026-01-08,126951
149,61,2010-01-04,30404
150,61,2016-07-11,42623
151,61,2020-07-03,55129
152,62,2024-12-27,55414
153,62,2025-10-22,76930
154,63,2020-05-08,61816
155,63,2025-05-03,103339
156,63,2025-08-16,106244
157,64,2024-02-18,52227
158,64,2024-09-28,119825
159,64,2026-03-21,123136
160,65,1996-01-31,39099
161,65,2013-01-29,83719
162,66,2025-11-01,65180
163,66,2026-04-15,137154
164,67,2018-12-14,31036
