id,number,course,institute,department
1,101,4,Институт горного дела и транспорта,"Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых"
2,102,2,Институт энергетики и автоматизированных систем,Кафедра информатики и информационной безопасности
3,103,3,Институт энергетики и автоматизированных систем,Кафедра вычислительной техники и программирования
4,104,2,"Институт строительства, архитектуры и искусства",Кафедра архитектуры и изобразительного искусства
5,105,3,Институт естествознания и стандартизации,Кафедра прикладной математики и информатики
6,106,1,Факультет физической культуры и спортивного мастерства,Кафедра спортивного совершенствования
7,107,1,"Институт строительства, архитектуры и искусства",Кафедра архитектуры и изобразительного искусства
8,108,2,"Институт металлургии, машиностроения и материалообработки",Кафедра механики
9,109,1,"Институт строительства, архитектуры и искусства",Кафедра промышленного и гражданского строительства
10,110,2,"Институт металлургии, машиностроения и материалообработки",Кафедра литейных процессов и материаловедения
