id,name,semester,hours,assessment_type,lecturer_id
1,Дизайн-проектирование (Сем. 1),1,36,Экзамен,62
2,Философия (Сем. 2),2,180,Экзамен,63
3,Строительные материалы (Сем. 1),1,72,Зачет,62
4,История России (Сем. 2),2,216,Зачет,62
5,Безопасность жизнедеятельности (Сем. 1),1,252,Экзамен,63
6,Русский язык и культура речи (Сем. 2),2,36,Экзамен,62
7,Архитектурное проектирование (Сем. 1),1,72,Экзамен,61
8,Философия (Сем. 2),2,144,Экзамен,62
9,Правоведение (Сем. 1),1,36,Зачет,63
10,Русский язык и культура речи (Сем. 2),2,180,Экзамен,61
11,Урбанистика (Сем. 1),1,72,Зачет,62
12,Правоведение (Сем. 2),2,144,Экзамен,61
13,Безопасность жизнедеятельности (Сем. 1),1,108,Зачет,62
14,Русский язык и культура речи (Сем. 2),2,252,Зачет,61
15,Философия (Сем. 1),1,36,Экзамен,63
16,История России (Сем. 2),2,180,Зачет,63
17,Железобетонные конструкции (Сем. 1),1,36,Экзамен,61
18,История России (Сем. 2),2,216,Экзамен,62
19,Физическая культура и спорт (Сем. 1),1,72,Экзамен,63
20,Русский язык и культура речи (Сем. 2),2,180,Зачет,62
21,Русский язык и культура речи (Сем. 1),1,108,Экзамен,62
22,Русский язык и культура речи (Сем. 2),2,216,Зачет,62
23,Правоведение (Сем. 1),1,36,Экзамен,62
24,Физическая культура и спорт (Сем. 2),2,36,Экзамен,63
25,Иностранный язык (Сем. 1),1,72,Зачет,61
26,Дизайн-проектирование (Сем. 2),2,108,Экзамен,62
27,История архитектуры (Сем. 1),1,180,Экзамен,63
28,История архитектуры (Сем. 2),2,216,Экзамен,61
29,История России (Сем. 1),1,216,Экзамен,62
30,Философия (Сем. 2),2,216,Зачет,61
31,Правоведение (Сем. 3),3,108,Зачет,62
32,Строительная механика (Сем. 4),4,36,Зачет,62
33,Иностранный язык (Сем. 3),3,252,Экзамен,63
34,Железобетонные конструкции (Сем. 4),4,216,Зачет,63
35,Строительная механика (Сем. 3),3,36,Экзамен,63
36,Строительная механика (Сем. 4),4,252,Зачет,63
37,Безопасность жизнедеятельности (Сем. 3),3,72,Экзамен,62
38,Правоведение (Сем. 4),4,252,Экзамен,62
39,Философия (Сем. 3),3,216,Экзамен,62
40,Инженерная геодезия (Сем. 4),4,180,Экзамен,61
41,Железобетонные конструкции (Сем. 3),3,144,Экзамен,61
42,Дизайн-проектирование (Сем. 4),4,252,Зачет,63
43,Урбанистика (Сем. 3),3,108,Экзамен,63
